LOAD | addr=965 | data=7104 + j0
LOAD | addr=37 | data=7015 + j0
LOAD | addr=549 | data=6926 + j0
LOAD | addr=293 | data=6807 + j0
LOAD | addr=805 | data=6707 + j0
LOAD | addr=165 | data=6554 + j0
LOAD | addr=677 | data=6306 + j0
LOAD | addr=421 | data=6026 + j0
LOAD | addr=933 | data=5516 + j0
LOAD | addr=101 | data=3740 + j0
LOAD | addr=613 | data=21681 + j0
LOAD | addr=357 | data=22347 + j0
LOAD | addr=869 | data=22653 + j0
LOAD | addr=229 | data=22847 + j0
LOAD | addr=741 | data=23058 + j0
LOAD | addr=485 | data=23157 + j0
LOAD | addr=997 | data=23253 + j0
LOAD | addr=21 | data=23340 + j0
LOAD | addr=533 | data=23413 + j0
LOAD | addr=277 | data=23512 + j0
LOAD | addr=789 | data=23574 + j0
LOAD | addr=149 | data=23605 + j0
LOAD | addr=661 | data=23643 + j0
LOAD | addr=405 | data=23673 + j0
LOAD | addr=917 | data=23700 + j0
LOAD | addr=85 | data=23723 + j0
LOAD | addr=597 | data=23736 + j0
LOAD | addr=341 | data=23761 + j0
LOAD | addr=853 | data=23781 + j0
LOAD | addr=213 | data=23786 + j0
LOAD | addr=725 | data=23795 + j0
LOAD | addr=469 | data=23798 + j0
LOAD | addr=981 | data=23797 + j0
LOAD | addr=53 | data=23794 + j0
LOAD | addr=565 | data=23781 + j0
LOAD | addr=309 | data=23777 + j0
LOAD | addr=821 | data=23771 + j0
LOAD | addr=181 | data=23748 + j0
LOAD | addr=693 | data=23729 + j0
LOAD | addr=437 | data=23705 + j0
LOAD | addr=949 | data=23678 + j0
LOAD | addr=117 | data=23652 + j0
LOAD | addr=629 | data=23615 + j0
LOAD | addr=373 | data=23587 + j0
